Año;Periodo;Confianza del consumidor;
2005;Enero;98,03;0,06427098
2005;Febrero;94,74;-0,033561155
2005;Marzo;91,99;-0,02902681
2005;Abril;90,6;-0,015110338
2005;Mayo;91,91;0,014459161
2005;Junio;91,12;-0,008595365
2005;Julio;90,72;-0,004389816
2005;Agosto;92,7;0,021825397
2005;Septiembre;87,78;-0,053074434
2005;Octubre;80,42;-0,083845979
2005;Noviembre;89,95;0,11850286
2005;Diciembre;86,55;-0,037798777
2006;Enero;88,87;0,026805315
2006;Febrero;87,96;-0,010239676
2006;Marzo;89,65;0,019213279
2006;Abril;83,28;-0,071054099
2006;Mayo;85,21;0,023174832
2006;Junio;86,26;0,012322497
2006;Julio;87,78;0,017621145
2006;Agosto;84,71;-0,034973798
2006;Septiembre;88,02;0,039074489
2006;Octubre;90,46;0,027720973
2006;Noviembre;90,38;-0,000884369
2006;Diciembre;85,53;-0,053662315
2007;Enero;90,63;0,059628201
2007;Febrero;89,44;-0,01313031
2007;Marzo;89,5;0,000670841
2007;Abril;94,43;0,055083799
2007;Mayo;93;-0,015143493
2007;Junio;92,73;-0,002903226
2007;Julio;92,51;-0,002372479
2007;Agosto;86,48;-0,065182142
2007;Septiembre;80,16;-0,073080481
2007;Octubre;76,18;-0,049650699
2007;Noviembre;76,11;-0,000918876
2007;Diciembre;72,34;-0,04953357
2008;Enero;70,88;-0,020182472
2008;Febrero;76,76;0,082957111
2008;Marzo;73,08;-0,047941636
2008;Abril;63,81;-0,126847291
2008;Mayo;56,44;-0,115499138
2008;Junio;51,71;-0,083805811
2008;Julio;46,31;-0,104428544
2008;Agosto;51,41;0,110127402
2008;Septiembre;49,54;-0,036374246
2008;Octubre;50,14;0,012111425
2008;Noviembre;48,7;-0,028719585
2008;Diciembre;48,91;0,004312115
2009;Enero;50,06;0,023512574
2009;Febrero;48,61;-0,028965242
2009;Marzo;53,74;0,105533841
2009;Abril;61,91;0,152028284
2009;Mayo;63,78;0,030205136
2009;Junio;66,36;0,040451552
2009;Julio;76,14;0,147377939
2009;Agosto;79,51;0,044260573
2009;Septiembre;70,3;-0,115834486
2009;Octubre;69,23;-0,015220484
2009;Noviembre;75,3;0,087678752
2009;Diciembre;74,7;-0,007968127
2010;Enero;78,7;0,053547523
2010;Febrero;71,1;-0,09656925
2010;Marzo;72,7;0,022503516
2010;Abril;78,18;0,075378267
2010;Mayo;65,1;-0,167306216
2010;Junio;65,9;0,012288786
2010;Julio;73,62;0,117147193
2010;Agosto;74,85;0,016707416
2010;Septiembre;72,8;-0,02738811
2010;Octubre;67,1;-0,078296703
2010;Noviembre;70;0,043219076
2010;Diciembre;64,57;-0,077571429
2011;Enero;70,7;0,094935729
2011;Febrero;73,4;0,038189533
2011;Marzo;68,3;-0,069482289
2011;Abril;73,2;0,071742313
2011;Mayo;74,3;0,015027322
2011;Junio;74,9;0,00807537
